arm,seed,subset,count,finite_count,nonfinite_count,p50_mm,p95_mm,p99_mm,max_mm,within_3mm,within_10mm,gt50,gt100,fixed_control_gt50,new_gt50,regression_gt10,small_paths_retained
junction,20260926,junction_5mm,99,99,0,3.744795877292461,8.737786938942518,15.888661026533923,17.859939301718722,0.23232323232323232,0.9494949494949495,0,0,5,0,0,False
junction,20260926,junction_10mm,341,341,0,3.72388325883544,12.017063896527658,17.757294912210963,20.926964435584352,0.2961876832844575,0.9354838709677419,0,0,11,0,1,False
junction,20260926,junction_20mm,760,760,0,3.8185690790100204,11.278832048025706,19.03808161985686,34.11408246361919,0.30394736842105263,0.9381578947368421,0,0,19,0,5,False
task_only,20260926,all,8272,8272,0,3.3345146135330865,11.146520183743316,26.157509707451787,125.54475863652908,0.4348404255319149,0.9352030947775629,36,5,0,3,0,True
task_only,20260926,mixed_k32,1111,1111,0,3.775096415649561,19.872731142020417,86.77010385782245,125.54475863652908,0.35553555355535554,0.8757875787578758,32,5,0,2,0,True
task_only,20260926,single_domain,7161,7161,0,3.27098967840568,10.441696099109773,20.44691310623015,71.33037318102004,0.4471442535958665,0.9444211702276218,4,0,0,1,0,True
task_only,20260926,junction_5mm,99,99,0,3.7005849729870937,35.089009343435784,103.69833086794385,103.94734729886989,0.41414141414141414,0.9090909090909091,5,2,0,0,0,True
task_only,20260926,junction_10mm,341,341,0,3.851836598137324,18.909374693480185,96.23145079597867,125.54475863652908,0.36363636363636365,0.9090909090909091,11,3,0,0,0,True
task_only,20260926,junction_20mm,760,760,0,3.7051489171644683,18.015809734277216,92.07629961307586,125.54475863652908,0.35657894736842105,0.9026315789473685,20,5,0,1,0,True
junction_task_only,20260926,all,8272,8272,0,3.2655240807987314,10.95646608188537,23.4221022812738,112.84775466536794,0.4433027079303675,0.934115087040619,26,3,7,0,5,True
junction_task_only,20260926,mixed_k32,1111,1111,0,3.1498848293244537,17.35194244848504,75.02538697991363,112.84775466536794,0.45004500450045004,0.891989198919892,24,3,6,0,0,True
junction_task_only,20260926,single_domain,7161,7161,0,3.2798203134599113,10.544422624498804,18.9345923164273,71.81353910812021,0.4422566680631197,0.94065074710236,2,0,1,0,5,True
junction_task_only,20260926,junction_5mm,99,99,0,2.943420697898852,23.340133421533377,84.93212121395658,104.88254408252737,0.5151515151515151,0.9090909090909091,4,1,1,0,0,True
junction_task_only,20260926,junction_10mm,341,341,0,3.082464770844312,15.457031746811856,86.89191446756979,112.84775466536794,0.4780058651026393,0.906158357771261,9,2,2,0,0,True
junction_task_only,20260926,junction_20mm,760,760,0,3.081535320024497,12.258146971030595,84.80505693676321,112.84775466536794,0.4710526315789474,0.9210526315789473,16,3,3,0,0,True
