arm,group,split,case,count,finite_count,nonfinite_count,p50_mm,p95_mm,p99_mm,max_mm,within_3mm,within_10mm,bounds_violations,centroid_dx_mm,centroid_dy_mm,centroid_dz_mm,centered_rms_scale_ratio,plane_p95_mm,beta_step_max_deg,beta_step_gt7deg_rate,endpoint_beta_gap_deg
junction_20260925,targets,diagnostic,retry19_zero_to_boundary_0,120,120,0,2.2811183026213557,7.349867254211803,7.639389034469185,7.662612679354037,0.5916666666666667,1.0,0,0.8618167120941693,-0.07772794038884463,-0.6726553344188992,1.0211187643660167,1.5656979265553057,0.3208434007610655,0.0,12.044093657112459
junction_20260925,targets,diagnostic,retry19_zero_to_boundary_1,120,120,0,3.937107128354924,11.308295045541948,11.632328273603228,11.665354389282744,0.325,0.8833333333333333,0,1.7845023146330963,0.15138813567310738,-0.3439963109161324,1.0240447019760361,2.463625598061987,0.4645189242967458,0.0,11.307601046173831
junction_20260925,targets,diagnostic,retry19_zero_to_boundary_2,120,120,0,4.064291503160426,11.26752905025443,11.635204037358317,11.67148837046982,0.35833333333333334,0.8916666666666667,0,1.3409178546232619,0.5734872463130154,-0.1980214276128991,1.0240285494449899,3.3220233913824764,0.5036013734492645,0.0,11.961276616727085
junction_20260925,targets,diagnostic,off_grid_test,3000,3000,0,2.21740131170225,7.787905043736418,15.397148956871277,91.28444466507898,0.6853333333333333,0.9736666666666667,0,,,,,,,,
junction_20260925,targets,diagnostic,large_star,407,407,0,2.7609895650977894,11.03442407259934,18.061227344716496,22.9603251704406,0.5552825552825553,0.9312039312039312,0,-0.5687426633275611,0.003266988672724125,0.3933565183618986,0.9970767651685798,6.290090395431136,1.312885728768334,0.0,0.4401920316289818
junction_20260925,targets,diagnostic,large_helix,523,523,0,3.0142395857842157,13.322758312665236,15.82745835349041,17.959057850190643,0.49521988527724664,0.8852772466539197,0,-0.9445210733259393,-0.5219349242624886,-0.9813425443649036,0.9991739773356397,,4.273594295276795,0.0,9.903753752590125
junction_20260925,targets,diagnostic,large_tapered_helix,574,574,0,6.916292343530019,13.765940988104356,15.114515207574085,18.156025205298643,0.013937282229965157,0.6585365853658537,0,-5.320791751848981,-0.6051387700058296,-1.4326246454032818,0.9898248536872125,,1.680989596019474,0.0,3.618166567758021
junction_20260925,targets,diagnostic,circle_u100_center25_r5,128,128,0,2.9894421128427426,3.0770411541800966,3.0785967075707923,3.078782861195587,0.53125,1.0,0,-2.699509538790803,-0.643138061050344,-1.050263031485558,0.9990221341715135,2.754897187985894,0.010305047910256738,0.0,0.005500009829152767
junction_20260925,targets,diagnostic,circle_u100_center25_r10,128,128,0,2.9544352505247558,3.1189217147358543,3.125575802181587,3.126130581469655,0.7421875,1.0,0,-2.620662510556645,-0.6375612666645166,-1.014964470574843,0.9993973717430799,2.7703766661011153,0.021475822297812593,0.0,0.010409208295099432
junction_20260925,targets,diagnostic,circle_u100_center25_r20,128,128,0,2.5789086513609463,3.1747371240334408,3.2001099280552547,3.202451307239264,0.8515625,1.0,0,-2.329410422788964,-0.6243960940050968,-0.8787094963438302,1.0007539192734993,2.7824143734731632,0.04731314726750145,0.0,0.019154838640477633
